Na22 	20482.1 	0.0951443  1  2501.32  2739
Al27 	25126.5 	0.239039  1  2439.53  2814
proton 	938.272 	5.63211  1  2627.21  2624
Cr54 	50231.5 	0.103902  1  2627.21  2628
C13 	12109.5 	1.06872  1  2741.92  2575
Mg24 	22335.8 	0.310768  1  3009.47  2073
Al28 	26058.3 	0.162762  1  2701.74  2661
Na24 	22341.8 	0.185955  1  2644.86  2667
proton 	938.272 	9.70814  1  2556  2660
Mg25 	23268 	0.800075  1  2556  2666
proton 	938.272 	9.17425  1  2558.73  2654
C13 	12109.5 	0.847233  1  2558.73  2658
proton 	938.272 	3.74354  1  2427.23  2914
Mg25 	23268 	0.315202  1  2427.23  2917
proton 	938.272 	5.62681  1  2423.82  2854
Ne21 	19550.5 	0.442455  1  2423.82  2858
Mn55 	51161.7 	0.112711  1  2517.74  2719
Na26 	24206.4 	0.181047  1  2663.03  2661
Na24 	22341.8 	0.216434  1  2482.11  2765
O16 	14895.1 	0.409281  1  4369.25  628
proton 	938.272 	1.76965  1  2444.16  2816
C12 	11174.9 	0.754844  1  2444.16  2819
Al28 	26058.3 	0.167836  1  2510.07  2713
O16 	14895.1 	0.24657  1  4990.12  12
proton 	938.272 	10.08  1  2570.93  2697
Mg24 	22335.8 	1.41601  1  2570.93  2705
proton 	938.272 	2.82333  1  2469.21  2855
Ne20 	18617.7 	0.84311  1  2469.21  2860
proton 	938.272 	4.21437  1  2435.45  2873
C14 	13040.9 	1.02789  1  2435.45  2877
Mg24 	22335.8 	0.169424  1  4781.55  231
proton 	938.272 	3.05729  1  2427.92  2774
proton 	938.272 	2.71478  1  2427.92  2775
O17 	15830.5 	3.15006  1  2427.92  2780
proton 	938.272 	3.06049  1  2545.07  2765
C12 	11174.9 	0.24973  1  2545.07  2769
Al27 	25126.5 	0.162023  1  2652.71  2656
proton 	938.272 	2.32001  1  2443.29  2906
alpha 	3727.38 	7.17169  1  2443.29  2911
N15 	13968.9 	2.40094  1  2443.29  2912
N15 	13968.9 	0.205659  1  2637.63  2726
O16 	14895.1 	0.403639  1  4422.95  596
Mg24 	22335.8 	0.19795  1  4728.23  294
alpha 	3727.38 	7.3126  1  2442.03  2809
Be8 	7454.85 	2.584  1  2442.03  2810
alpha 	3727.38 	6.1604  1  2585.69  2677
