image_filename,track_id,centroid_x_px_ellipse,centroid_y_px_ellipse,major_axis_px,minor_axis_px,orientation_deg,len_um
Acquisition_2397_2_1.png,45,953.4,147.9,16.5,13.43,5.64,5.69
Acquisition_2397_2_1.png,46,542.7,129.5,16.7,11.99,56.25,5.76
Acquisition_2397_2_1.png,47,1021.8,116.0,17.92,15.63,103.95,6.18
Acquisition_2397_2_1.png,48,727.1,102.5,13.78,13.13,60.53,4.75
Acquisition_2397_2_1.png,49,462.2,72.3,13.64,12.06,114.89,4.7
Acquisition_2397_2_1.png,50,326.2,57.1,17.27,12.25,153.32,5.96
Acquisition_2397_2_1.png,51,578.7,50.8,15.51,13.06,101.78,5.35
Acquisition_2397_2_1.png,52,232.6,44.0,18.09,13.9,68.02,6.24
Acquisition_2397_3_1.png,1,187.5,992.5,9.12,7.56,165.3,3.15
Acquisition_2397_3_1.png,2,919.3,966.0,18.36,12.94,130.16,6.33
Acquisition_2397_3_1.png,3,112.7,950.5,13.83,11.59,142.47,4.77
Acquisition_2397_3_1.png,4,323.9,933.5,15.0,10.69,43.31,5.17
Acquisition_2397_3_1.png,5,180.6,895.3,16.9,11.76,68.16,5.83
Acquisition_2397_3_1.png,6,122.8,889.4,11.8,8.89,120.64,4.07
Acquisition_2397_3_1.png,7,193.0,846.2,14.89,11.77,7.19,5.14
Acquisition_2397_3_1.png,8,275.3,831.1,13.33,7.93,168.55,4.6
Acquisition_2397_3_1.png,9,1008.7,822.3,17.64,13.06,27.0,6.09
Acquisition_2397_3_1.png,10,980.8,812.0,15.78,13.73,91.17,5.44
Acquisition_2397_3_1.png,11,223.1,810.1,18.58,12.34,155.25,6.41
Acquisition_2397_3_1.png,12,475.7,792.4,15.18,14.81,134.07,5.24
Acquisition_2397_3_1.png,13,490.9,780.2,13.53,12.25,22.87,4.67
Acquisition_2397_3_1.png,14,545.4,730.9,15.75,13.52,51.2,5.43
Acquisition_2397_3_1.png,15,52.9,669.9,15.2,12.72,93.44,5.24
Acquisition_2397_3_1.png,16,468.0,639.8,15.99,13.71,104.48,5.52
Acquisition_2397_3_1.png,17,575.8,637.4,12.7,10.08,125.91,4.38
Acquisition_2397_3_1.png,18,208.4,581.8,14.96,12.35,59.04,5.16
Acquisition_2397_3_1.png,19,52.0,510.5,15.56,14.73,38.59,5.37
Acquisition_2397_3_1.png,20,347.9,507.1,13.19,11.21,110.75,4.55
Acquisition_2397_3_1.png,21,339.9,489.4,16.56,11.92,57.5,5.71
Acquisition_2397_3_1.png,22,156.0,486.2,17.65,12.56,36.81,6.09
Acquisition_2397_3_1.png,23,238.4,460.3,30.2,22.36,124.78,10.42
Acquisition_2397_3_1.png,24,356.4,448.7,20.69,11.77,12.77,7.14
Acquisition_2397_3_1.png,25,1017.1,362.4,18.27,16.01,99.48,6.3
Acquisition_2397_3_1.png,26,472.8,355.5,15.49,11.81,38.87,5.34
Acquisition_2397_3_1.png,27,782.6,341.4,17.66,12.71,75.24,6.09
Acquisition_2397_3_1.png,28,143.3,334.8,14.44,12.67,35.1,4.98
Acquisition_2397_3_1.png,29,45.5,317.4,14.96,11.36,16.72,5.16
Acquisition_2397_3_1.png,30,46.5,293.2,13.0,11.74,148.77,4.48
Acquisition_2397_3_1.png,31,89.0,295.7,22.97,11.83,24.13,7.92
Acquisition_2397_3_1.png,32,648.8,262.9,13.79,11.56,93.79,4.76
Acquisition_2397_3_1.png,33,459.2,262.6,13.16,9.62,60.72,4.54
Acquisition_2397_3_1.png,34,689.8,263.2,15.39,14.23,112.26,5.31
Acquisition_2397_3_1.png,35,110.4,258.2,16.49,12.0,1.49,5.69
Acquisition_2397_3_1.png,36,371.5,247.6,16.7,15.17,156.37,5.76
Acquisition_2397_3_1.png,37,73.9,245.0,12.83,12.11,165.75,4.43
Acquisition_2397_3_1.png,38,464.4,220.6,18.53,11.84,107.96,6.39
Acquisition_2397_3_1.png,39,744.9,204.1,16.21,15.05,110.1,5.59
Acquisition_2397_3_1.png,40,56.4,171.7,26.45,25.71,77.01,9.12
Acquisition_2397_3_1.png,41,103.4,147.6,11.32,7.05,73.93,3.91
Acquisition_2397_3_1.png,42,162.2,148.5,20.76,12.37,81.56,7.16
Acquisition_2397_3_1.png,43,127.0,116.9,15.22,14.16,49.24,5.25
Acquisition_2397_3_1.png,44,567.4,99.9,18.84,12.6,133.82,6.5
Acquisition_2397_3_1.png,45,707.3,90.8,16.62,14.28,88.08,5.73
Acquisition_2397_3_1.png,46,159.6,81.4,16.22,13.55,67.88,5.6
Acquisition_2397_3_1.png,47,69.2,24.1,16.07,13.88,71.51,5.54
Acquisition_2418_0_0.png,1,446.7,963.4,15.11,14.57,129.46,5.21
Acquisition_2418_0_0.png,2,95.5,944.7,13.73,11.35,32.08,4.74
Acquisition_2418_0_0.png,3,506.0,924.0,18.38,13.31,164.18,6.34
Acquisition_2418_0_0.png,4,275.3,915.4,19.24,14.17,140.63,6.64
Acquisition_2418_0_0.png,5,373.6,803.4,11.98,9.63,56.88,4.13
Acquisition_2418_0_0.png,6,471.4,763.4,16.37,9.83,78.54,5.65
