,image_filename,track_id,centroid_x_px_ellipse,centroid_y_px_ellipse,major_axis_px,minor_axis_px,orientation_deg,len_um
84,Frame11_Acquisition_3936_1_1.png,1,732.9,1008.8,23.62,18.06,168.2,8.15
85,Frame11_Acquisition_3936_1_1.png,2,133.9,999.7,18.17,17.89,131.66,6.27
86,Frame11_Acquisition_3936_1_1.png,3,384.2,993.2,11.45,9.58,103.99,3.95
87,Frame11_Acquisition_3936_1_1.png,4,253.9,936.6,15.22,8.34,32.46,5.25
88,Frame11_Acquisition_3936_1_1.png,5,541.3,887.0,15.53,6.61,7.35,5.36
89,Frame11_Acquisition_3936_1_1.png,6,627.7,831.4,12.93,7.1,96.27,4.46
90,Frame11_Acquisition_3936_1_1.png,7,980.8,830.7,12.56,8.37,168.89,4.33
91,Frame11_Acquisition_3936_1_1.png,8,348.3,675.9,19.95,15.18,153.04,6.88
92,Frame11_Acquisition_3936_1_1.png,9,406.5,667.2,9.04,8.42,125.81,3.12
93,Frame11_Acquisition_3936_1_1.png,10,521.5,648.1,19.84,16.58,129.1,6.85
94,Frame11_Acquisition_3936_1_1.png,11,210.4,616.5,8.81,5.7,122.84,3.04
95,Frame11_Acquisition_3936_1_1.png,12,272.1,615.8,12.09,10.81,96.97,4.17
96,Frame11_Acquisition_3936_1_1.png,13,726.4,554.6,16.51,13.95,127.48,5.7
97,Frame11_Acquisition_3936_1_1.png,14,931.1,542.3,6.63,5.37,126.72,2.29
98,Frame11_Acquisition_3936_1_1.png,15,880.7,534.9,6.24,5.7,20.59,2.15
99,Frame11_Acquisition_3936_1_1.png,16,800.0,522.6,16.48,14.15,21.27,5.68
100,Frame11_Acquisition_3936_1_1.png,17,794.6,481.0,18.51,16.87,153.64,6.38
101,Frame11_Acquisition_3936_1_1.png,18,719.8,424.3,5.92,4.96,159.36,2.04
102,Frame11_Acquisition_3936_1_1.png,19,406.1,195.9,10.68,8.65,116.37,3.68
103,Frame11_Acquisition_3936_1_1.png,20,812.4,190.2,12.65,12.24,1.28,4.36
104,Frame11_Acquisition_3936_1_1.png,21,86.3,69.3,8.5,7.11,82.74,2.93
105,Frame11_Acquisition_3936_2_1.png,1,632.1,996.4,8.66,7.53,21.94,2.99
106,Frame11_Acquisition_3936_2_1.png,2,866.4,932.1,22.44,15.63,96.65,7.74
107,Frame11_Acquisition_3936_2_1.png,3,851.6,909.1,6.87,6.43,139.85,2.37
108,Frame11_Acquisition_3936_2_1.png,4,475.8,908.5,20.03,19.08,85.19,6.91
109,Frame11_Acquisition_3936_2_1.png,5,603.1,858.4,8.25,6.23,155.54,2.85
110,Frame11_Acquisition_3936_2_1.png,6,554.7,805.4,15.15,10.98,28.15,5.23
111,Frame11_Acquisition_3936_2_1.png,7,509.2,801.7,15.53,14.65,111.23,5.36
112,Frame11_Acquisition_3936_2_1.png,8,805.2,759.7,11.81,10.85,123.53,4.07
113,Frame11_Acquisition_3936_2_1.png,9,530.7,753.1,5.8,4.96,112.94,2.0
114,Frame11_Acquisition_3936_2_1.png,10,373.3,682.9,5.29,3.73,74.53,1.83
115,Frame11_Acquisition_3936_2_1.png,11,964.8,678.2,20.81,15.85,77.09,7.18
116,Frame11_Acquisition_3936_2_1.png,12,442.7,644.3,21.19,15.91,156.68,7.31
117,Frame11_Acquisition_3936_2_1.png,13,456.9,621.7,9.8,8.84,27.32,3.38
118,Frame11_Acquisition_3936_2_1.png,14,593.9,543.1,4.58,4.15,153.63,1.58
119,Frame11_Acquisition_3936_2_1.png,15,912.9,528.4,18.22,13.95,167.87,6.29
120,Frame11_Acquisition_3936_2_1.png,16,629.2,468.1,16.36,8.17,129.75,5.64
121,Frame11_Acquisition_3936_2_1.png,17,844.9,400.1,14.17,11.45,160.94,4.89
122,Frame11_Acquisition_3936_2_1.png,18,143.7,311.1,13.23,11.68,77.16,4.56
123,Frame11_Acquisition_3936_2_1.png,19,802.2,284.2,14.34,11.58,107.9,4.95
124,Frame11_Acquisition_3936_2_1.png,20,984.3,204.6,20.75,15.56,6.8,7.16
125,Frame11_Acquisition_3936_2_1.png,21,378.3,136.0,23.8,13.89,121.31,8.21
126,Frame11_Acquisition_3936_2_1.png,22,534.9,134.3,30.95,18.93,107.81,10.68
127,Frame11_Acquisition_3936_2_1.png,23,955.2,102.8,7.61,6.26,97.6,2.63
128,Frame11_Acquisition_3936_2_1.png,24,252.3,69.3,11.9,11.34,118.39,4.11
129,Frame11_Acquisition_3936_2_1.png,25,232.8,34.7,10.54,5.02,85.41,3.64
130,Frame11_Acquisition_3936_3_1.png,1,266.7,1019.8,17.59,11.4,97.16,6.07
131,Frame11_Acquisition_3936_3_1.png,2,195.3,975.4,22.06,16.8,53.56,7.61
132,Frame11_Acquisition_3936_3_1.png,3,305.0,964.9,22.97,13.93,54.2,7.92
133,Frame11_Acquisition_3936_3_1.png,4,760.8,948.4,11.35,9.97,171.81,3.91
134,Frame11_Acquisition_3936_3_1.png,5,264.2,954.1,22.86,18.76,177.85,7.89
135,Frame11_Acquisition_3936_3_1.png,6,86.5,944.8,10.11,6.22,59.21,3.49
136,Frame11_Acquisition_3936_3_1.png,7,341.7,940.4,28.09,15.15,120.33,9.69
